label
biolink:InformationContentEntity
biolink:NamedThing
biolink:BiologicalEntity
biolink:ChemicalSubstance
biolink:Drug
biolink:MolecularEntity
biolink:OntologyClass
biolink:AnatomicalEntity
biolink:OrganismalEntity
biolink:AdministrativeEntity
biolink:Agent
biolink:Activity
biolink:Cell
biolink:Disease
biolink:DiseaseOrPhenotypicFeature
biolink:PhenotypicFeature
biolink:Gene
biolink:GenomicEntity
biolink:Protein
biolink:Phenomenon
biolink:Procedure
biolink:Device
biolink:IndividualOrganism
biolink:GeneFamily
biolink:GrossAnatomicalStructure
biolink:BiologicalProcess
biolink:BiologicalProcessOrActivity
biolink:PathologicalProcess
biolink:PopulationOfIndividualOrganisms
biolink:OrganismTaxon
biolink:PhysiologicalProcess
biolink:CellularComponent
biolink:PhysicalEntity
biolink:RNAProduct
biolink:Transcript
biolink:MolecularActivity
biolink:GeographicLocation
biolink:PlanetaryEntity
biolink:Metabolite
biolink:FoodComponent
biolink:ClinicalEntity
biolink:ClinicalIntervention
biolink:QuantityValue
biolink:ClinicalModifier
biolink:MaterialSample
biolink:Pathway
biolink:Carbohydrate
biolink:RelationshipType
biolink:PhenotypicQuality
biolink:LifeStage
biolink:EnvironmentalFeature
biolink:NoncodingRNAProduct
biolink:FrequencyValue
biolink:BehavioralFeature
biolink:EnvironmentalProcess
biolink:ExposureEvent
Base
