predicate
biolink:subclass_of
biolink:physically_interacts_with
biolink:close_match
biolink:related_to
biolink:coexists_with
biolink:quantifier_qualifier
biolink:has_input
biolink:produces
biolink:negatively_regulates_entity_to_entity
biolink:positively_regulates_entity_to_entity
biolink:derives_into
biolink:affects
biolink:precedes
biolink:part_of
biolink:located_in
biolink:occurs_in
biolink:has_attribute
biolink:causes
biolink:treats
biolink:positively_regulates
biolink:disrupts
biolink:biomarker_for
biolink:interacts_with
biolink:prevents
biolink:predisposes
biolink:manifestation_of
biolink:has_output
biolink:same_as
biolink:develops_from
biolink:derives_from
biolink:actively_involved_in
biolink:participates_in
biolink:capable_of
biolink:negatively_regulates_process_to_process
biolink:regulates_process_to_process
biolink:positively_regulates_process_to_process
biolink:regulates
biolink:negatively_regulates
biolink:expressed_in
biolink:colocalizes_with
biolink:enables
biolink:overlaps
biolink:contributes_to
biolink:temporally_related_to
biolink:has_not_completed
biolink:has_completed
biolink:affects_transport_of
biolink:increases_degradation_of
biolink:lacks_part
biolink:has_increased_amount
biolink:has_decreased_amount
biolink:affects_localization_of
biolink:preceded_by
biolink:has_phenotype
biolink:correlated_with
biolink:contraindicated_for
biolink:has_route
biolink:has_attribute_type
biolink:has_count
biolink:in_taxon
biolink:gene_associated_with_condition
biolink:has_gene_product
biolink:has_participant
biolink:is_sequence_variant_of
biolink:has_molecular_consequence
biolink:chemically_similar_to
biolink:increases_metabolic_processing_of
biolink:synonym
biolink:has_quantitative_value
biolink:has_unit
biolink:location_of
biolink:disease_has_basis_in
biolink:expresses
biolink:model_of
biolink:molecularly_interacts_with
biolink:increases_activity_of
biolink:decreases_activity_of
biolink:increases_stability_of
biolink:decreases_expression_of
biolink:affects_activity_of
biolink:directly_interacts_with
biolink:affects_degradation_of
biolink:increases_expression_of
