predicate
biolink:subclass_of
biolink:close_match
biolink:has_part
biolink:coexists_with
biolink:derives_from
biolink:related_to
biolink:precedes
biolink:develops_from
biolink:located_in
biolink:physically_interacts_with
biolink:entity_negatively_regulates_entity
biolink:entity_regulates_entity
biolink:entity_positively_regulates_entity
biolink:capable_of
biolink:occurs_in
biolink:has_input
biolink:has_participant
biolink:correlated_with
biolink:causes
biolink:affects
biolink:gene_associated_with_condition
biolink:biomarker_for
biolink:has_phenotype
biolink:in_taxon
biolink:gene_product_of
biolink:is_sequence_variant_of
biolink:actively_involved_in
biolink:has_molecular_consequence
biolink:treats
biolink:expressed_in
biolink:chemically_similar_to
biolink:increases_metabolic_processing_of
biolink:has_output
biolink:produces
biolink:manifestation_of
biolink:affects_transport_of
biolink:process_positively_regulates_process
biolink:process_negatively_regulates_process
biolink:process_regulates_process
biolink:temporally_related_to
biolink:same_as
biolink:overlaps
biolink:interacts_with
biolink:affects_localization_of
biolink:increases_degradation_of
biolink:has_completed
biolink:contributes_to
biolink:lacks_part
biolink:has_increased_amount
biolink:has_decreased_amount
biolink:has_not_completed
biolink:model_of
biolink:disrupts
biolink:disease_has_basis_in
biolink:decreases_activity_of
biolink:examples
biolink:local_names
biolink:prevents
biolink:predisposes
biolink:transcribed_from
biolink:translates_to
biolink:increases_activity_of
biolink:increases_stability_of
biolink:increases_expression_of
biolink:decreases_expression_of
biolink:has_metabolite
biolink:directly_interacts_with
biolink:molecularly_interacts_with
biolink:affects_activity_of
biolink:affects_degradation_of
biolink:decreases_response_to
biolink:increases_molecular_modification_of
biolink:decreases_molecular_modification_of
biolink:enables
biolink:colocalizes_with
biolink:contraindicated_for
biolink:catalyzes
