label
biolink:NamedThing
biolink:InformationResource
biolink:ChemicalEntity
biolink:InformationContentEntity
biolink:Drug
biolink:Device
biolink:SmallMolecule
biolink:Food
biolink:Polypeptide
biolink:IndividualOrganism
biolink:OrganismTaxon
biolink:Cell
biolink:NucleicAcidEntity
biolink:Vitamin
biolink:PhysicalEntity
biolink:MolecularEntity
biolink:AnatomicalEntity
biolink:Disease
biolink:ChemicalMixture
biolink:Protein
biolink:Phenomenon
biolink:GrossAnatomicalStructure
biolink:CellularComponent
biolink:Publication
biolink:PhysiologicalProcess
biolink:PhenotypicFeature
biolink:BiologicalEntity
biolink:DiseaseOrPhenotypicFeature
biolink:Cohort
biolink:BiologicalProcess
biolink:MolecularActivity
biolink:Behavior
biolink:Activity
biolink:Procedure
biolink:Agent
biolink:PopulationOfIndividualOrganisms
biolink:Gene
biolink:GeographicLocation
biolink:Event
biolink:BiologicalProcessOrActivity
biolink:OrganismalEntity
biolink:Treatment
biolink:MaterialSample
biolink:ClinicalIntervention
biolink:NoncodingRNAProduct
biolink:GeneFamily
biolink:Pathway
biolink:Transcript
biolink:EnvironmentalFeature
biolink:RNAProduct
biolink:LifeStage
biolink:Exon
biolink:BehavioralFeature
biolink:EnvironmentalProcess
biolink:CellLine
biolink:MicroRNA
Base
