CHEMBL1201317	5563
CHEMBL1491	2162
CHEMBL1200608	5355130
CHEMBL542	978
CHEMBL1201217	3180
CHEMBL638	71616
CHEMBL329203	7608
CHEMBL846	5280453
CHEMBL374478	5458213
CHEMBL1115	4991
CHEMBL106	3365
CHEMBL76	2719
CHEMBL1201	941651
CHEMBL1887666	10646
CHEMBL1676	9854489
CHEMBL1316	2581
CHEMBL989	6215
CHEMBL490	43815
CHEMBL1437065	4511
CHEMBL970	31640
CHEMBL761	4436
CHEMBL1179	19493
CHEMBL1228	4641
CHEMBL1096885	454216
CHEMBL965	2551
CHEMBL1076347	7547
CHEMBL1201756	3036780
CHEMBL440	3032285
CHEMBL448	4737
CHEMBL1201220	2140
CHEMBL2104232	70695634
CHEMBL1237068	66964417
CHEMBL571	3825
CHEMBL334966	9854012
CHEMBL1200766	31011
CHEMBL626	47641
CHEMBL1493	3354
CHEMBL55400	7099
CHEMBL1201129	451668
CHEMBL19299	3965
CHEMBL1622	6037
CHEMBL81	5035
CHEMBL1539	17134
CHEMBL1445	6446
CHEMBL1434	54675783
CHEMBL1503	4594
CHEMBL253592	5902
CHEMBL1463345	13789
CHEMBL705	449171
CHEMBL484785	44591583
CHEMBL1162	6230
CHEMBL2110626	6615
CHEMBL1201325	24199
CHEMBL822	1549008
CHEMBL3085436	3037981
CHEMBL972	26757
CHEMBL2105385	11226
CHEMBL1495	4642
CHEMBL1744	12460
CHEMBL2403108	57379345
CHEMBL416	4114
CHEMBL583	72474
CHEMBL1554	457193
CHEMBL1450486	11061
CHEMBL1477036	11339
CHEMBL3707307	9862937
CHEMBL1619	20279
CHEMBL566534	68911
CHEMBL1619528	4832
CHEMBL1597	3080
CHEMBL1118	125017
CHEMBL37390	4977
CHEMBL2103752	16135415
CHEMBL483254	6918837
CHEMBL653	3033637
CHEMBL1193	4761
CHEMBL3770406	56646803
CHEMBL2219418	56959087
CHEMBL135	5757
CHEMBL409	2375
CHEMBL24147	5054
CHEMBL1240977	5281087
CHEMBL1622638	7084
CHEMBL981	64929
CHEMBL308954	193962
CHEMBL1100	8280
CHEMBL288441	5328940
CHEMBL911	5732
CHEMBL472	3488
CHEMBL2106161	443935
CHEMBL1201334	25074470
CHEMBL1697849	5284614
CHEMBL1561	441314
CHEMBL1725880	5536
CHEMBL96783	6912
CHEMBL1580	439693
CHEMBL139367	154234
CHEMBL168815	2684
CHEMBL712	2197
CHEMBL494	5311181
CHEMBL727	2723601
CHEMBL114	441243
CHEMBL1200714	2717
CHEMBL1210954	65958
CHEMBL1200853	9051
CHEMBL1341	4116
CHEMBL1129	6256
CHEMBL1488165	65944
CHEMBL606	5282381
CHEMBL785	33572
CHEMBL1471	6918365
CHEMBL160	5284373
CHEMBL1201355	16129675
CHEMBL8085	5962
CHEMBL468837	10518
CHEMBL454446	6437877
CHEMBL990	2484
CHEMBL1201320	9568614
CHEMBL2107830	11949646
CHEMBL429910	9887712
CHEMBL3127326	54767916
CHEMBL1498	6166
CHEMBL23	39186
CHEMBL340801	16106
CHEMBL118	2662
CHEMBL659	9651
CHEMBL472566	6103
CHEMBL2103846	13559281
CHEMBL259209	11622909
CHEMBL435	3639
CHEMBL1093	32170
CHEMBL1043	2955
CHEMBL1233584	6306
CHEMBL115	5362440
CHEMBL2104786	452306
CHEMBL33	149096
CHEMBL3544909	6441383
CHEMBL2105667	9852175
CHEMBL455917	2707
CHEMBL3833301	9977518
CHEMBL1165268	3739
CHEMBL797	6839
CHEMBL1005	60815
CHEMBL108541	6954
CHEMBL1201195	42008
CHEMBL451	2712
CHEMBL708	60854
CHEMBL254328	132971
CHEMBL1517	54675779
CHEMBL1514	15130
CHEMBL2104860	9909202
CHEMBL442	8223
CHEMBL16	1775
CHEMBL567	4748
CHEMBL22150	2710
CHEMBL609	5565
CHEMBL1505	123606
CHEMBL1200570	8567
CHEMBL1256786	3410
CHEMBL1440	54675776
CHEMBL959	5071
CHEMBL605846	11504295
CHEMBL249837	54675785
CHEMBL1618102	160883
CHEMBL1660	6323497
CHEMBL1489	9444
CHEMBL534	3827
CHEMBL1733	107994
CHEMBL3306382	24672
CHEMBL927	6915944
CHEMBL2104627	6436061
CHEMBL2111125	20054992
CHEMBL1094	3331
CHEMBL1355299	7181
CHEMBL802	4201
CHEMBL461522	3111
CHEMBL1697841	22297
CHEMBL1186894	3035016
CHEMBL353972	71310
CHEMBL185073	441289
CHEMBL1350	60937
CHEMBL12856	3698
CHEMBL1182	247
CHEMBL428	62959
